uri,track_name,artist_names,peak_rank,weeks_on_chart,danceability,energy,music_key,loudness,music_mode,speechiness,acousticness,tempo
spotify:track:02MWAaffLxlfxAUY7c5dvx,heat waves,glass animals,1,65,0.761,0.525,B,-6.9,Major,0.0944,0.44,80.87
spotify:track:5PjdY0CKGZdEuoNab3yDmX,stay (with justin bieber),"the kid laroi, justin bieber",1,37,0.591,0.764,C#,-5.484,Major,0.0483,0.0383,169.928
spotify:track:3IAfUEeaXRX9s9UdKOJrFI,envolver,anitta,3,3,0.812,0.736,E,-5.421,Minor,0.0833,0.152,91.993
spotify:track:1HhNoOuqm1a5MXYEgAFl8o,enemy (with jid) - from the series arcane league of legends,"imagine dragons, jid, arcane, league of legends",3,21,0.728,0.783,B,-4.424,Minor,0.266,0.237,77.011
spotify:track:4fouWK6XVHhzl78KzQ1UjL,abcdefu,gayle,1,19,0.695,0.54,E,-5.692,Major,0.0493,0.299,121.932
spotify:track:7rglLriMNBPAyuJOMGwi39,cold heart - pnau remix,"elton john, dua lipa, pnau",4,32,0.795,0.8,C#,-6.32,Major,0.0309,0.0354,116.032
spotify:track:1ri9ZUkBJVFUdgwzCnfcYs,mamiii,"becky g, karol g",5,6,0.843,0.7,E,-3.563,Minor,0.0803,0.0934,93.991
spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,industry baby (feat. jack harlow),"lil nas x, jack harlow",2,35,0.741,0.691,A#,-7.395,Minor,0.0672,0.0221,150.087
spotify:track:6mmPpaltUZK7xjNlBPQQ0p,desesperados,"rauw alejandro, chencho corleone",8,15,0.869,0.694,C#,-3.35,Minor,0.0783,0.356,90.02
spotify:track:50nfwKoDiSYg8zOCREWAm5,shivers,ed sheeran,4,28,0.788,0.859,D,-2.724,Major,0.0856,0.281,141.02
spotify:track:6Uj1ctrBOjOas8xZXGqKk4,woman,doja cat,6,37,0.824,0.764,F,-4.175,Minor,0.0854,0.0888,107.998
spotify:track:46IZ0fSY2mpAiktS3KOqds,easy on me,adele,1,23,0.604,0.366,F,-7.519,Major,0.0282,0.578,141.981
spotify:track:6I3mqTwhRpn34SLVafSH7G,ghost,justin bieber,11,27,0.601,0.741,D,-5.569,Major,0.0478,0.185,153.96
spotify:track:0QBzMgT7NIeoCYy3sJCof1,bam bam (feat. ed sheeran),"camila cabello, ed sheeran",13,3,0.756,0.697,G#,-6.377,Major,0.0401,0.182,94.996
spotify:track:58HvfVOeJY7lUuCqF0m3ly,middle of the night,elley duhé,14,13,0.41,0.611,E,-8.271,Minor,0.0467,0.0228,185.727
spotify:track:1O2pcBJGej0pmH2Y9XZMs6,una noche en medellín,cris mj,16,4,0.87,0.548,A#,-5.253,Minor,0.077,0.0924,96.018
spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,thats what i want,lil nas x,3,27,0.737,0.846,C#,-4.51,Minor,0.22,0.00614,87.981
spotify:track:3uUuGVFu1V7jTQL60S1r8z,where are you now,"lost frequencies, calum scott",18,29,0.671,0.636,F#,-8.117,Minor,0.103,0.515,120.966
