track_name,artist_names,streams,bpm,music_key,music_mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,125,B,Major,0.8,0.89,0.83,0.31,0.0,0.08,0.04
LALA,Myke Towers,133716286,92,C#,Major,0.71,0.61,0.74,0.07,0.0,0.1,0.04
vampire,Olivia Rodrigo,140003974,138,F,Major,0.51,0.32,0.53,0.17,0.0,0.31,0.06
Cruel Summer,Taylor Swift,800840817,170,A,Major,0.55,0.58,0.72,0.11,0.0,0.11,0.15
WHERE SHE GOES,Bad Bunny,303236322,144,A,Minor,0.65,0.23,0.8,0.14,0.63,0.11,0.06
Sprinter,"Dave, Central Cee",183706234,141,C#,Major,0.92,0.66,0.58,0.19,0.0,0.08,0.24
Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,148,F,Minor,0.67,0.83,0.76,0.48,0.0,0.08,0.03
Columbia,Quevedo,58149378,100,F,Major,0.67,0.26,0.71,0.37,0.0,0.11,0.04
fukumean,Gunna,95217315,130,C#,Minor,0.85,0.22,0.62,0.12,0.0,0.28,0.09
La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,170,D,Minor,0.81,0.56,0.48,0.21,0.0,0.08,0.33
un x100to,"Bad Bunny, Grupo Frontera",505671438,83,F#,Minor,0.57,0.56,0.72,0.23,0.0,0.27,0.05
Super Shy,NewJeans,58255150,150,F,Minor,0.78,0.52,0.82,0.18,0.0,0.15,0.07
Flowers,Miley Cyrus,1316855716,118,,Major,0.71,0.65,0.68,0.06,0.0,0.03,0.07
Daylight,David Kushner,387570742,130,D,Minor,0.51,0.32,0.43,0.83,0.0,0.09,0.03
As It Was,Harry Styles,2513188493,174,F#,Minor,0.52,0.66,0.73,0.34,0.0,0.31,0.06
Kill Bill,SZA,1163093654,89,G#,Major,0.64,0.43,0.73,0.05,0.17,0.16,0.04
Cupid - Twin Ver.,Fifty Fifty,496795686,120,B,Minor,0.78,0.76,0.59,0.43,0.0,0.34,0.03
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,30546883,78,,Major,0.44,0.14,0.09,0.96,0.0,0.1,0.03
Classy 101,"Feid, Young Miko",335222234,100,B,Major,0.86,0.67,0.66,0.14,0.0,0.12,0.16
Like Crazy,Jimin,363369738,120,G,Major,0.63,0.36,0.73,0.0,0.0,0.36,0.04
